Season,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",RICE HISPA,ADVISED TO SPRAY TRICEL-20 OR CLASSIC-20 @ 2 ML / LITRE WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,21:57.1
KHARIF,HORTICULTURE,Fruits,Citrus,Seeds and Planting Material,ASKING FOR SPACING OF CITRUS FROM PLANT TO PLANT,SUGGESTED A SPACING OF 5 METERS FROM PLANT TO PLANT,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,00:46.5
KHARIF,HORTICULTURE,Fruits,Citrus,Seeds and Planting Material,WANTED TO KNOW THE SPACING OF CITRUS FROM PLANT TO PLANT.,SUGGESTED A SPACING OF 5 METERS FROM PALNT TO PLANT,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,15:10.9
KHARIF,HORTICULTURE,Fruits,Mango,"	Plant Protection	",POWDERY MILDEW OF MANGO,SUGGESTED  TO SPRAY BAVISTIN @ 1 GRAM / LITRE WATER AS DIRECTED,TRIPURA,WEST TRIPURA,KHOWAI                                            ,28:04.7
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",PROBLEM OF FUNGAL WILT IN BRINJAL.,ADVISED HIM TO APPLY BAVISTIN @ 1 GM / LITRE OF WATER.,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,43:58.0
KHARIF,HORTICULTURE,Vegetables,Brinjal,Weather,WANT TO KNOW RAINFALL FORCAST FOR WEST TRIPURA ON 2 ND SEPTEMBER,TOLD HIM THAT 30 MM RAINFALL FORCAST FOR WEST TRIPURA ON 2ND SEPTEMBER ACCORDING TO IMD WEATHER FORCAST,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,34:45.4
KHARIF,HORTICULTURE,Vegetables,Brinjal,Weather,WANT TO KNOW ABOUT RAINFALL IN WEST TRIPURA ON 2ND SEPTEMBER,TOLD HIM THAT 30 MM RAINFALL PREDICTED FOR WEST TRIPURA ON 2ND SEPTEMBER BASED ON IMD WEATHER FORCAST,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,54:06.2
KHARIF,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",ASKING CONTROL OF DOWNY MILDEW IN CUCUMBER,APPLY INDOFIL M-45 @ 2 GRAM PER LITRE OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,57:58.1
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",ASKING CONTROL OF STEM BORER ATTACK IN PADDY FIELD,SPRAY KARATE(LAMDA CYHALOTHRIN) @ 2 ML PER LITRE OF WATER,TRIPURA,WEST TRIPURA,HEZAMARA                                          ,21:02.0
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,CONTROL MEASURES OF BLAST,ADVICE TO APPLY BAVISTIN @ 2 GM/L WATER,TRIPURA,WEST TRIPURA,KATHALIA                                          ,23:33.3
KHARIF,AGRICULTURE,Others,Others,Weather,ASKISEPTEMBER 2015NG FOR WEATHER REPORT IN WEST TRIPURA DISTRICT ON 2ND,PREDICTED A RAINFALL OF 30 mm ON 2ND SEPTEMBER 2015. YOUR REGISTRATION NO IS TR15105356,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,18:51.8
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING FOR WEATHER REPORT IN WEST TRIPURA DISTANCE 2ND SEPTEMBER 2015,PREDICTED A RAINFALL  OF 30 MM ON 2ND SEPTEMBER 2015,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,29:58.6
KHARIF,AGRICULTURE,Others,Others,"	Plant Protection	",WANTED TO REGISTER IN KCC,REGFISTERED. YOUR REGISTRATION NO IS TR15105414,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,33:56.8
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",RICE HISPA,SUGGESTED TO SPRAY CHLORPYRIPHOS 20 EC @ 2 ML / LITRE WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,52:16.7
KHARIF,HORTICULTURE,Fruits,Lemon,Nutrient Management,ASKING APPLICATION OF CROP BOOSTER IN LEMON TREE,SPRAY VIPUL ALL CROPS @ 2 ML PER LITRE OF WATER,TRIPURA,WEST TRIPURA,BOXANAGAR                                         ,20:38.7
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",asking about control measure of fruit borer in brinjal,SUGGESTED TO SPRAY MALATHION 50EC @ 2MILILITER/LITER OF WATER.,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,42:54.4
KHARIF,HORTICULTURE,Flowers,Rose,"	Plant Protection	",PROBLEM OF RED SCALE IN ROSE.,ADVISED HIM TO APPLY DIMACRON @ 1 ML / LITRE OF WATER.,TRIPURA,WEST TRIPURA,KHOWAI                                            ,07:17.7
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT THE WEATHER FORECAST OF WEST TRIPURA.,EXPLAINED HIM ACCORDING TO DISTRICT AAS BULLETIN AS TODAYS RAINFALL IS 10 MM.,TRIPURA,WEST TRIPURA,KHOWAI                                            ,15:57.6
KHARIF,HORTICULTURE,Plantation Crops,Coconut,"	Plant Protection	",ASKING CONTROL OF ROOT ROT IN COCONUT,APPLY CAPTAN @ 2 GRAM PER LITRE OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,45:59.7
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL OF LEAF ROLLER IN PADDY,SPRAY CLASSIC 20 @ 2 ML PER LITER OF WATER,TRIPURA,WEST TRIPURA,BOXANAGAR                                         ,30:11.0
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",CONTROL OF BACTERIAL WILT IN BRINJAL,SPRAY STREPTOMYCIN @ 1 GM PER  10 LITER OF WATER IN THE BASE OF THE PLANT,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,11:32.9
KHARIF,HORTICULTURE,Vegetables,Pointed Gourd,"	Plant Protection	",CONTROL OF FRUIT FLY IN POINTED GOURD,SPRAY ROGOR @ 2 ML PER LITER OF WATER,TRIPURA,WEST TRIPURA,KHOWAI                                            ,00:36.0
KHARIF,HORTICULTURE,Vegetables,Radish,"	Plant Protection	",CONTROL FUNGAL DISEASE IN RADISH,SPRAY CAPTAF @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,23:56.2
