Season,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK.,MAHARASHTRA,GONDIYA,TIRORA,56:45.4
JAYAD,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",ATTACK OF SUCKING PEST?,confidor 10 ml /super confidor 10 ml (Imidacloprid) /15 liter water,MAHARASHTRA,GONDIYA,GONDIA                                            ,22:59.6
JAYAD,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",ATTACK OF SUCKING PEST ?,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,MAHARASHTRA,GONDIYA,GONDIA                                            ,24:16.6
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of LIGHT Rainfall,MAHARASHTRA,GONDIYA,GONDIA                                            ,54:49.1
JAYAD,HORTICULTURE,Vegetables,Indian Squash (Tinda/Round Melon),Seeds and Planting Material,VARIETIES OF Indian squash (TINDA) ?,VARIETIES OF TINDA -CHITRA-BSS-695 ARKA TINDA AMOL,MAHARASHTRA,GONDIYA,GONDIA                                            ,42:13.8
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,Today's weather Partly cloudy and no Possibility of Rainfall.,MAHARASHTRA,GONDIYA,TIRORA,18:33.1
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,Today's weather Partly cloudy and no Possibility of Rainfall.,MAHARASHTRA,GONDIYA,TIRORA,18:33.8
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is cloudy and light to moderate possibility of rainfall.,MAHARASHTRA,GONDIYA,TIRORA,39:11.3
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR,MAHARASHTRA,MUMBAI,MUMBAI,07:22.4
KHARIF,HORTICULTURE,Fruits,Papaya,"	Plant Protection	",control of wilt attack ?,spraying of blu copper 25 gram + humik asid 30 mili / 15 liter water,MAHARASHTRA,MUMBAI,MUMBAI,36:55.2
JAYAD,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weed Management,Asked about weed management ?,At this stage of crop herbicides application is not recommended so carry out hand weeding .,MAHARASHTRA,MUMBAI,MUMBAI,24:29.0
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK.,MAHARASHTRA,GONDIYA,TIRORA,56:45.4
JAYAD,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",ATTACK OF SUCKING PEST?,confidor 10 ml /super confidor 10 ml (Imidacloprid) /15 liter water,MAHARASHTRA,GONDIYA,GONDIA                                            ,22:59.6
JAYAD,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",ATTACK OF SUCKING PEST ?,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,MAHARASHTRA,GONDIYA,GONDIA                                            ,24:16.6
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of LIGHT Rainfall,MAHARASHTRA,GONDIYA,GONDIA                                            ,54:49.1
JAYAD,HORTICULTURE,Vegetables,Indian Squash (Tinda/Round Melon),Seeds and Planting Material,VARIETIES OF Indian squash (TINDA) ?,VARIETIES OF TINDA -CHITRA-BSS-695 ARKA TINDA AMOL,MAHARASHTRA,GONDIYA,GONDIA                                            ,42:13.8
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,Today's weather Partly cloudy and no Possibility of Rainfall.,MAHARASHTRA,GONDIYA,TIRORA,18:33.1
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,Today's weather Partly cloudy and no Possibility of Rainfall.,MAHARASHTRA,GONDIYA,TIRORA,18:33.8
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is cloudy and light to moderate possibility of rainfall.,MAHARASHTRA,GONDIYA,TIRORA,39:11.3
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is partly clear and no Possibility of Rainfall.,MAHARASHTRA,DHULE,DHULE                                             ,12:12.0
JAYAD,HORTICULTURE,Vegetables,French Bean,Bio-Pesticides and Bio-Fertilizers,Attack of Thrips?,SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,MAHARASHTRA,DHULE,SAKRI                                             ,05:30.9
RABI,AGRICULTURE,Others,Others,Market Information,Padgilwar Corporation contact no ?,"SHOP NO1/2/3 PAN BAZAAR ,GULTEKDI MARKET YARD ,BELOW OLD KARAD URBAN BANK, Gultekdi, Pune, Maharashtra ??????  020 2426 4306",MAHARASHTRA,DHULE,DHULE                                             ,36:32.6
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is mostly clear and NO Possibility of Rainfall,MAHARASHTRA,DHULE,SAKRI                                             ,53:32.8
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK.,MAHARASHTRA,DHULE,DHULE                                             ,11:16.7
RABI,HORTICULTURE,Vegetables,Onion,Market Information,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION -400-700 RS/QTL,MAHARASHTRA,DHULE,SAKRI                                             ,22:49.6
JAYAD,HORTICULTURE,Vegetables,Onion,Market Information,Asking About Market Rate of ONION in NASIK market?,"In NASIK market -
Market Rate of ONION -Minimum- 500 rupees/qtl and maximum - 950 rupees/qtl",MAHARASHTRA,DHULE,SAKRI                                             ,48:34.1
